elo_bin_20,match_pattern,stronger_goals,weaker_goals,probability
200.0,STRONGER_WIN,7,0,0.003305785123966942
200.0,STRONGER_WIN,5,3,0.001652892561983471
200.0,STRONGER_WIN,8,1,0.001652892561983471
200.0,STRONGER_WIN,15,1,0.001652892561983471
200.0,WEAKER_WIN,1,2,0.3
200.0,WEAKER_WIN,0,1,0.2916666666666667
200.0,WEAKER_WIN,0,2,0.15833333333333333
200.0,WEAKER_WIN,2,3,0.10833333333333334
200.0,WEAKER_WIN,1,3,0.058333333333333334
200.0,WEAKER_WIN,0,3,0.041666666666666664
200.0,WEAKER_WIN,1,4,0.016666666666666666
200.0,WEAKER_WIN,2,4,0.016666666666666666
200.0,WEAKER_WIN,3,5,0.008333333333333333
220.0,DRAW,1,1,0.4303030303030303
220.0,DRAW,0,0,0.36363636363636365
220.0,DRAW,2,2,0.18181818181818182
220.0,DRAW,3,3,0.024242424242424242
220.0,STRONGER_WIN,1,0,0.24329501915708812
220.0,STRONGER_WIN,2,0,0.1743295019157088
220.0,STRONGER_WIN,2,1,0.14367816091954022
220.0,STRONGER_WIN,3,0,0.11685823754789272
220.0,STRONGER_WIN,4,0,0.0842911877394636
220.0,STRONGER_WIN,3,1,0.06704980842911877
220.0,STRONGER_WIN,4,1,0.038314176245210725
220.0,STRONGER_WIN,5,0,0.034482758620689655
220.0,STRONGER_WIN,3,2,0.02681992337164751
220.0,STRONGER_WIN,5,1,0.013409961685823755
220.0,STRONGER_WIN,6,0,0.013409961685823755
220.0,STRONGER_WIN,5,2,0.009578544061302681
220.0,STRONGER_WIN,7,0,0.007662835249042145
220.0,STRONGER_WIN,4,2,0.005747126436781609
220.0,STRONGER_WIN,6,1,0.005747126436781609
220.0,STRONGER_WIN,8,1,0.005747126436781609
220.0,STRONGER_WIN,8,0,0.0038314176245210726
220.0,STRONGER_WIN,4,3,0.0019157088122605363
220.0,STRONGER_WIN,5,3,0.0019157088122605363
220.0,STRONGER_WIN,12,0,0.0019157088122605363
220.0,WEAKER_WIN,0,1,0.45977011494252873
220.0,WEAKER_WIN,1,2,0.2413793103448276
220.0,WEAKER_WIN,0,2,0.14942528735632185
220.0,WEAKER_WIN,1,3,0.034482758620689655
220.0,WEAKER_WIN,2,3,0.034482758620689655
220.0,WEAKER_WIN,0,4,0.022988505747126436
220.0,WEAKER_WIN,0,3,0.011494252873563218
220.0,WEAKER_WIN,1,4,0.011494252873563218
220.0,WEAKER_WIN,1,5,0.011494252873563218
220.0,WEAKER_WIN,2,4,0.011494252873563218
220.0,WEAKER_WIN,2,5,0.011494252873563218
240.0,DRAW,0,0,0.4451219512195122
240.0,DRAW,1,1,0.40853658536585363
240.0,DRAW,2,2,0.12804878048780488
240.0,DRAW,3,3,0.018292682926829267
240.0,STRONGER_WIN,2,0,0.22666666666666666
240.0,STRONGER_WIN,1,0,0.19333333333333333
240.0,STRONGER_WIN,2,1,0.12666666666666668
240.0,STRONGER_WIN,3,0,0.12
240.0,STRONGER_WIN,3,1,0.07555555555555556
240.0,STRONGER_WIN,4,0,0.07333333333333333
240.0,STRONGER_WIN,3,2,0.03777777777777778
240.0,STRONGER_WIN,6,0,0.02666666666666667
240.0,STRONGER_WIN,5,0,0.024444444444444446
240.0,STRONGER_WIN,5,1,0.024444444444444446
240.0,STRONGER_WIN,4,1,0.022222222222222223
240.0,STRONGER_WIN,6,1,0.015555555555555555
240.0,STRONGER_WIN,4,2,0.006666666666666667
240.0,STRONGER_WIN,5,2,0.006666666666666667
240.0,STRONGER_WIN,7,0,0.006666666666666667
240.0,STRONGER_WIN,4,3,0.0044444444444444444
240.0,STRONGER_WIN,5,4,0.0022222222222222222
240.0,STRONGER_WIN,6,2,0.0022222222222222222
240.0,STRONGER_WIN,8,0,0.0022222222222222222
240.0,STRONGER_WIN,9,1,0.0022222222222222222
240.0,WEAKER_WIN,0,1,0.36363636363636365
240.0,WEAKER_WIN,1,2,0.2857142857142857
240.0,WEAKER_WIN,0,2,0.16883116883116883
240.0,WEAKER_WIN,1,3,0.05194805194805195
240.0,WEAKER_WIN,2,3,0.03896103896103896
240.0,WEAKER_WIN,0,3,0.025974025974025976
240.0,WEAKER_WIN,3,4,0.025974025974025976
240.0,WEAKER_WIN,0,4,0.012987012987012988
240.0,WEAKER_WIN,1,4,0.012987012987012988
240.0,WEAKER_WIN,2,4,0.012987012987012988
260.0,DRAW,1,1,0.49038461538461536
260.0,DRAW,0,0,0.41346153846153844
260.0,DRAW,2,2,0.07692307692307693
260.0,DRAW,3,3,0.009615384615384616
260.0,DRAW,4,4,0.009615384615384616
260.0,STRONGER_WIN,1,0,0.18981481481481483
260.0,STRONGER_WIN,2,0,0.18518518518518517
260.0,STRONGER_WIN,2,1,0.1550925925925926
260.0,STRONGER_WIN,3,0,0.14351851851851852
260.0,STRONGER_WIN,3,1,0.08564814814814815
260.0,STRONGER_WIN,4,0,0.07175925925925926
260.0,STRONGER_WIN,4,1,0.05324074074074074
260.0,STRONGER_WIN,5,0,0.03935185185185185
260.0,STRONGER_WIN,3,2,0.020833333333333332
260.0,STRONGER_WIN,5,1,0.018518518518518517
260.0,STRONGER_WIN,6,0,0.009259259259259259
260.0,STRONGER_WIN,7,0,0.006944444444444444
260.0,STRONGER_WIN,4,2,0.004629629629629629
260.0,STRONGER_WIN,6,2,0.004629629629629629
260.0,STRONGER_WIN,7,1,0.004629629629629629
260.0,STRONGER_WIN,4,3,0.0023148148148148147
260.0,STRONGER_WIN,8,0,0.0023148148148148147
260.0,STRONGER_WIN,8,2,0.0023148148148148147
260.0,WEAKER_WIN,0,1,0.4067796610169492
260.0,WEAKER_WIN,1,2,0.1694915254237288
260.0,WEAKER_WIN,0,2,0.15254237288135594
260.0,WEAKER_WIN,1,3,0.0847457627118644
260.0,WEAKER_WIN,2,3,0.06779661016949153
260.0,WEAKER_WIN,0,3,0.03389830508474576
